id,rating,year,img,name,link,location,type,lat,lng
3062,1,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/20bcc868-35af-4e36-a782-a214f7103912.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Dragsholm Slot Gourmet,https://guide.michelin.com//en/zealand/horve/restaurant/dragsholm-slot-gourmet,Hørve,Creative,55.771236,11.390805
3063,1,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/42b73dee-c1f5-439a-92a7-aefe16efc349.JPG?width=500&amp;sharp=1"" width=""362"" height=""203",Alouette,https://guide.michelin.com//en/capital-region/copenhagen/restaurant/alouette,Copenhagen,Modern Cuisine,55.662514,12.575834
3064,1,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/be8f34cf-5358-4443-8c9e-870826ddc8c1.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Domestic,https://guide.michelin.com//en/central-denmark/aarhus/restaurant/domestic,Aarhus,Modern Cuisine,56.159031,10.211896
3065,1,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/b180e449-8ff3-4810-bb85-4e1818744b1e.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Me|Mu,https://guide.michelin.com//en/southern-denmark/vejle/restaurant/me%E2%80%9Amu,Vejle,Modern Cuisine,55.708836,9.532906
3066,1,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/2454e04e-ff02-4046-a382-0877cebb6e01.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Kadeau Bornholm,https://guide.michelin.com//en/capital-region/kirkeby/restaurant/kadeau-bornholm,Åkirkeby,Creative,55.004406,14.968838
3067,1,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/c38c5dbe-0996-4b21-9a3d-0e900dd99300.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Essens,https://guide.michelin.com//en/zealand/praesto/restaurant/frederiksminde,Præstø,Creative,55.124466,12.047769
3068,3,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/ff41bd96-cfad-4c12-863d-31084c2b9694.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Geranium,https://guide.michelin.com//en/capital-region/copenhagen/restaurant/geranium,Copenhagen,"Creative, Creative",55.704086,12.572529
3069,1,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/5c9396e5-41f4-46e3-bec0-d7f9ad8da7b7.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Kong Hans Kælder,https://guide.michelin.com//en/capital-region/copenhagen/restaurant/kong-hans-kaelder,Copenhagen,"Seasonal Cuisine, Seasonal Cuisine",55.678741,12.583996
3070,2,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/0689a55b-353b-4537-aef3-eb2e1d2938e0.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",KOKS,https://guide.michelin.com//en/faroe-islands/leynavatn/restaurant/koks558780,Leynavatn,Creative,62.136669,-7.022025
3071,2,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/8ad9006e-1f39-437f-97e5-f6b14a7113c3.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Henne Kirkeby Kro,https://guide.michelin.com//en/southern-denmark/henne/restaurant/henne-kirkeby-kro,Henne,Classic Cuisine,55.726673,8.242029
3072,1,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/23e9495c-23c0-4715-a5bf-b418e25857d8.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Marchal,https://guide.michelin.com//en/capital-region/copenhagen/restaurant/marchal,Copenhagen,"Modern Cuisine, Modern Cuisine",55.680641,12.584676
3073,2,MICHELIN Guide Denmark,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/c6b56c48-4e1b-48f6-bd64-18ddff85ddbf.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",noma,https://guide.michelin.com//en/capital-region/copenhagen/restaurant/noma,Copenhagen,Creative,55.683311,12.610618
